176Hf_177Hf,epsilon_hf
0.2831935,14.44561632
0.283194,14.46328483
0.283194,14.46328483
0.283195,14.49864738
0.283196,14.53400994
0.283196209,14.54140193
0.283197,14.56937249
0.283198206,14.61202318
0.283199,14.6400976
0.2832,14.67546016
0.2832,14.67546016
0.2832,14.67546016
0.283201,14.71082271
0.283201501,14.72854423
0.283202,14.74618526
0.283203,14.78154782
0.283203501,14.79927621
0.283203997,14.81679701
0.283204,14.81691037
0.283204,14.81691037
0.283204501,14.8346422
0.283205,14.85227293
0.283205,14.85227293
0.283206,14.88763548
0.283207,14.92299804
0.28320729,14.93325644
0.283208,14.95836059
0.283208,14.95836059
0.283209,14.99372315
0.28321,15.0290857
0.28321,15.0290857
0.283211,15.06444826
0.283211,15.06444826
0.283211,15.06444826
0.283211,15.06444826
0.283211,15.06444826
0.283211932,15.09739499
0.283212,15.09981081
0.283212,15.09981081
0.283212,15.09981081
0.283213,15.13517336
0.283213,15.13517336
0.283214502,15.18830209
0.283215,15.20589847
0.283216,15.24126103
0.283216,15.24126103
0.283217,15.27662358
0.283218,15.31198614
0.283219,15.34734869
0.283219503,15.36513203
0.28322,15.38271125
0.28322,15.38271125
0.28322,15.38271125
0.283220079,15.38550583
0.283220902,15.41460587
0.283222,15.45343636
0.283223,15.48879891
0.283223,15.48879891
0.283223,15.48879891
0.283223,15.48879891
0.283224,15.52416147
0.283225,15.55952402
0.283225,15.55952402
0.283226,15.59488657
0.283226,15.59488657
0.283226,15.59488657
0.283226,15.59488657
0.283226,15.59488657
0.283227,15.63024913
0.283227199,15.63729437
0.283228,15.66561168
0.283228,15.66561168
0.283228321,15.67696843
0.28322876,15.6924878
0.283229,15.70097424
0.283229,15.70097424
0.283229,15.70097424
0.283229,15.70097424
0.283229,15.70097424
0.28323,15.73633679
0.28323,15.73633679
0.28323,15.73633679
0.28323,15.73633679
0.283231,15.77169935
0.283231,15.77169935
0.283232,15.8070619
0.283234,15.87778701
0.283235,15.91314957
0.283235,15.91314957
0.283235,15.91314957
0.283235,15.91314957
0.283236,15.94851212
0.283236,15.94851212
0.283236,15.94851212
0.283236,15.94851212
0.283239,16.05459978
0.283239,16.05459978
0.28324,16.08996234
0.283241,16.12532489
0.283243,16.19605
0.283243505,16.21391577
0.283244,16.23141256
0.283244,16.23141256
0.283246,16.30213767
0.283246,16.30213767
0.283246386,16.31580287
0.283247,16.33750022
0.283247,16.33750022
0.283248,16.37286278
0.283248,16.37286278
0.283248,16.37286278
0.283248,16.37286278
0.283248506,16.39074571
0.283249506,16.4261117
0.28325,16.44358788
0.283251,16.47895044
0.283253,16.54967555
0.283253,16.54967555
0.283254,16.5850381
0.283255,16.62040066
0.283255,16.62040066
0.283257,16.69112577
0.283258,16.72648832
0.283259,16.76185088
0.283259,16.76185088
0.283261,16.83257599
0.283262,16.86793854
0.283262,16.86793854
0.283267,17.04475131
0.283267508,17.0626995
0.283267804,17.07316634
0.283269724,17.14108911
0.28327,17.15083898
0.28327,17.15083898
0.283270508,17.16879747
0.283271,17.18620153
0.283272,17.22156409
0.283272287,17.23172316
0.283273,17.25692664
0.283275,17.32765175
0.283275352,17.34009022
0.283276,17.3630143
0.28328,17.50446452
0.283292,17.92881518
0.283305,18.38852839
